Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Pork Steak (Pinoy Style),Ang Pinoy version ng beef steak na gumagamit ng malambot na hiwa ng baboy. Kilala ito sa manamis-namis at maasim-asim na sarsa na galing sa kombinasyon ng toyo at maraming kalamansi. Ang nagpapaganda rito ay ang mga sariwang onion rings na nagdaragdag ng tamis at lutong sa bawat subo.,"500g pork shoulder (thinly sliced), 1/4 cup soy sauce, 3 tbsp calamansi juice, 2 large onions (rings), garlic.","1. I-marinate ang mga manipis na hiwa ng baboy sa pinaghalong toyo, sariwang piga na kalamansi, at pinitpit na bawang. Hayaan itong manuot sa loob ng isang oras o higit pa.

2. Mag-init ng mantika sa kawali. Iprito ang mga hiwa ng baboy nang mabilis (searing) hanggang sa mag-brown ang magkabilang panig; hanguin ang karne at itabi muna.

3. Sa parehong kawali, igisa ang mga hiwa ng puti o pulang sibuyas (onion rings) hanggang sa maging translucent o bahagyang lumambot pero may kaunting lutong pa.

4. Ibuhos ang natitirang marinade sauce sa kawali at hayaan itong kumulo nang bahagya upang maluto ang hilaw na toyo at kalamansi.

5. Ibalik ang piniritong baboy sa kawali. Hayaan itong kumulo kasama ang sarsa ng mga 2-3 minuto para mag-isang muli ang mga lasa.

6. Ihain nang mainit at siguraduhing lagyan ng maraming tustadong sibuyas sa ibabaw para sa magandang presentasyon.",Ulam (Main Dish),"Maalat, Maasim",Calories: ~320 kcal | Protein: ~22g | Fat: ~24g | Carbohydrates: ~6g | Sodium: ~680mg,60,15,4,Easy,Medium Cost,"Pork, Bistek Style, Filipino","Tanghalian, Hapunan","Happy, Satisfied, Simple indulgence, Nostalgic",
,Buchi,Isang tanyag na Chinese-Filipino snack na gawa sa glutinous rice flour. Ang bawat bola ay may palamang matamis na bean paste at nababalot ng linga (sesame seeds) na nagbibigay ng kakaibang bango at lutong kapag pinirito. Ito ay paboritong panghimagas o meryenda dahil sa pagiging chewy at nutty nito.,"2 cups glutinous rice flour, 1/2 cup water, 1 cup red bean paste, sesame seeds, sugar, oil.","1. Sa isang malaking mangkok, paghaluin ang glutinous rice flour, asukal, at tubig nang dahan-dahan hanggang sa makabuo ng isang dough na hindi dumidikit sa kamay.

2. Kumuha ng sapat na dami ng dough at bilugin ito. Gamit ang hinlalaki, gumawa ng butas sa gitna upang magkaroon ng espasyo para sa palaman.

3. Ilagay ang isang kutsarang red bean paste sa loob, pagkatapos ay isara at dahan-dahang bilugin muli ang dough hanggang maging smooth ang labas.

4. Basain nang bahagya ang labas ng bola gamit ang tubig at pagulungin ito sa sesame seeds. Siguraduhing dikit na dikit ang mga linga para hindi matanggal habang nagpiprito.

5. Mag-init ng mantika sa mahinang apoy (low heat). Napakahalaga na mahina ang apoy para maluto ang loob nang hindi nasusunog ang linga sa labas.

6. I-deep fry hanggang sa maging golden brown at bahagyang lumaki ang mga bola. Patiktikin sa paper towel bago ihain habang mainit pa.",Meryenda / Dessert,"Sweet, Nutty",Calories: ~180 kcal | Carbohydrates: ~30g | Fat: ~6g | Protein: ~3g | Sugar: ~14g,30,15,10,Moderate,Low Cost,"Sesame, Kakanin, Fried, Filipino",Meryenda,"Nostalgic (Chinese-Filipino roots), Sweet craving, Merienda happiness, Cozy",
,Ginataang Alimasag,"Isang marangyang putaheng dagat kung saan ang tamis ng sariwang alimasag ay sumasama sa linamnam ng gata ng niyog. Ang pagdaragdag ng malunggay o kalabasa ay nagbibigay ng sustansya at balanse sa alat ng ulam, na ginagawa itong paborito sa mga espesyal na tanghalian.","4 pcs malalaking alimasag, 3 cups gata, luya, bawang, sibuyas, 2 cups malunggay, asin, paminta.","1. Linisin nang maigi ang mga alimasag gamit ang brush. Maaaring hatiin ang mga ito sa dalawa kung masyadong malaki para mas Easyng manuot ang gata.

2. Sa isang malalim na palayok, igisa ang tinadtad na luya, bawang, at sibuyas hanggang sa lumabas ang bango at maging malambot ang mga rekado.

3. Ibuhos ang gata ng niyog at hayaan itong kumulo sa mahinang apoy. Regular na haluin para hindi mag-buo-buo ang gata.

4. Ilagay ang mga alimasag. Takpan ang palayok at lutuin hanggang sa magbago ang kulay nito at maging matingkad na orange (tanda na luto na ang laman).

5. Idagdag ang mga dahon ng malunggay (o hiwa ng kalabasa kung mas gusto ito). Lutuin pa ng isang minuto hanggang malanta ang dahon.

6. Timplahan ng sapat na asin at paminta ayon sa iyong panlasa bago hanguin at ihain kasama ang mainit na kanin.",Ulam (Seafood),"Creamy, Savory",Calories: ~310 kcal | Protein: ~24g | Fat: ~18g | Carbohydrates: ~10g | Sodium: ~410mg,15,20,4,Difficult,High Cost,"Crab, Gata, Seafood, Filipino","Tanghalian, Hapunan","Fancy, Indulgent, Celebratory, Seafood lover's joy",
,Sapin-Sapin,"Isang makulay at malagkit na kakanin na may iba't ibang layers ng lasa gaya ng ube, langka, at orihinal na gata. Ang bawat layer ay maingat na ini-isteam bago ilagay ang susunod upang mapanatili ang ganda ng mga kulay nito, at binubudburan ng latik para sa dagdag na linamnam.","1.5 cups glutinous rice flour, 0.5 cup rice flour, 2 cups gata, 1 cup sugar, ube at langka flavoring, latik.","1. Sa isang malaking mangkok, pagsamahin ang glutinous rice flour, rice flour, asukal, at gata ng niyog. Haluin nang maigi hanggang maging smooth at walang buo-buo.

2. Hatiin ang mixture sa tatlong pantay na bahagi sa magkakahiwalay na mangkok.

3. Haluan ang unang bahagi ng ube flavoring/coloring, ang pangalawa ng langka flavoring/yellow coloring, at iwanang puti ang huling bahagi.

4. Ihanda ang steamer. I-steam muna ang ube layer (purple) sa loob ng 15 minuto. Kapag medyo matigas na, ibuhos sa ibabaw ang puting layer at i-steam muli ng 15 minuto.

5. Huling ibuhos ang yellow layer (langka) at i-steam ang kabuuan ng huling 20-25 minuto hanggang sa maging translucent at luto na ang lahat.

6. Palamigin nang husto bago hiwain. Budburan ng maraming latik sa ibabaw bago ihain para sa tradisyunal na lasa.",Ulam / Pulutan,"Smoky, Savory",Calories: ~450 kcal | Protein: ~20g | Fat: ~38g | Carbohydrates: ~4g | Sodium: ~720mg,360,20,6,Moderate,High Cost,"Pork, Grilled, Inihaw, Filipino","Tanghalian, Hapunan","Festive, Proud (Filipino kakanin pride), Celebratory, Nostalgic",
,Puto Bumbong,"Ang paboritong pagkain tuwing Pasko sa Pilipinas. Ang kakaibang kulay lila nito ay tradisyunal na galing sa bigas na ""pirurutong."" Niluluto ito gamit ang singaw sa loob ng mga kawayan at inihahain nang mainit na may kasamang butter, asukal na muscovado, at sariwang niyog.","2 cups pirurutong rice, 1 cup glutinous rice, tubig, butter, muscovado sugar, gadgad na niyog.","1. Ibabad ang pinaghalong pirurutong at malagkit na bigas sa tubig sa loob ng isang buong magdamag upang lumambot at lumabas ang kulay.

2. Gilingin ang binabad na bigas hanggang sa maging pino ito. Patuluin at patuyuin ang mixture gamit ang telang katsa hanggang sa maging powder ang texture nito.

3. Kumuha ng sapat na dami ng powder at ilagay sa loob ng ""bumbong"" o bamboo tubes. Huwag siksikin nang sobra upang makadaan ang singaw.

4. Ilagay ang mga kawayan sa ibabaw ng ""lansong"" o steamer na may kumukulong tubig. I-steam ng 5-10 minuto o hanggang sa lumabas ang usok sa itaas ng kawayan.

5. Dahan-dahang ilabas ang puto mula sa kawayan gamit ang isang patpat at ilagay sa dahon ng saging.

6. Pahiran agad ng butter habang mainit pa upang matunaw ito, at budburan ng muscovado sugar at sariwang gadgad na niyog sa ibabaw.",Kakanin / Dessert,"Multi-flavored, Sweet",Calories: ~340 kcal | Carbohydrates: ~55g | Fat: ~14g | Sugar: ~22g | Sodium: ~30mg,30,60,8,Difficult,Low Cost,"Layered, Kakanin, Colorful, Filipino",Meryenda,"Christmas joy, Nostalgic, Simbang Gabi excitement, Festive",
,Adobong Atay at Balunbalunan,Chicken liver and gizzard na niluto sa istilong adobo; maasim at maalat.,"500g chicken liver and gizzard, 1/2 cup soy sauce, 1/4 cup vinegar, laurel leaves, peppercorns, garlic.","Step 1: Linisin nang maigi ang atay at balunbalunan.

Step 2: Pakuluan ang balunbalunan hanggang lumambot (dahil mas matigas ito sa atay).

Step 3: Igisa ang maraming bawang.

Step 4: Idagdag ang atay at ang pinalambot na balunbalunan.

Step 5: Ibuhos ang toyo, suka, at mga pampalasa.

Step 6: Hayaan itong maluto hanggang halos matuyo ang sarsa.",Ulam (Main Dish),"Maalat, Maasim",Calories: ~260 kcal | Protein: ~28g | Fat: ~12g | Carbohydrates: ~4g | Sodium: ~820mg,15,30,4,Easy,Low Cost,"Chicken, Adobo, Liver, Filipino","Tanghalian, Hapunan","Adventurous, Budget-conscious but happy, Bold, Nostalgic",
,Tortang Alimasag,"Crabmeat shells na nilagyan ng hinalong crabmeat, itlog, at gulay bago iprito.","1 cup crabmeat, 3 eggs, potatoes (minced), carrots, onion, salt, pepper, crab shells.","Step 1: Igisa ang bawang, sibuyas, patatas, at carrots kasama ang crabmeat; hanguin.

Step 2: Batihin ang itlog at ihalo ang ginisang mixture.

Step 3: Linisin ang mga crab shells.

Step 4: Ilagay ang mixture sa loob ng shell.

Step 5: Iprito ang shell na nakaharap sa mantika ang mixture side.

Step 6: Lutuin hanggang mag-golden brown ang itlog.",Ulam (Seafood),"Savory, Sweet",Calories: ~250 kcal | Protein: ~18g | Fat: ~14g | Carbohydrates: ~10g | Sodium: ~390mg,30,15,4,Moderate,Medium Cost,"Crab, Stuffed, Filipino, Handaan","Tanghalian, Hapunan","Fancy, Impressed, Celebratory, Seafood excitement",
,Ginataang Tilapia,Isang masustansyang luto ng tilapia sa gata na may kasamang pechay at sili.,"2 large tilapia, 2 cups coconut milk, 1 bundle pechay, knob ginger, onion, chili.","Step 1: Linisin ang tilapia at lagyan ng asin.

Step 2: Igisa ang luya, bawang, at sibuyas.

Step 3: Ibuhos ang gata at hayaang kumulo.

Step 4: Ilagay ang tilapia at lutuin ng 10-15 minuto.

Step 5: Idagdag ang pechay at sili.

Step 6: Timplahan ayon sa panlasa bago hanguin.",Ulam (Seafood),"Creamy, Fresh",Calories: ~290 kcal | Protein: ~22g | Fat: ~18g | Carbohydrates: ~5g | Sodium: ~320mg,10,25,2,Easy,Medium Cost,"Tilapia, Gata, Fish, Filipino","Tanghalian, Hapunan","Simple satisfaction, Healthy mood, Comforted, Nostalgic",
,Sweet and Sour Fish,Pritong isda (karaniwang tilapia o lapu-lapu) na binuhusan ng makulay na sarsa.,"1 large fish, 1/2 cup ketchup, 1/4 cup vinegar, 1/2 cup sugar, pineapple tidbits, carrots, bell pepper.","Step 1: Iprito ang isda hanggang malutong at itabi.

Step 2: Sa isang kawali, paghaluin ang ketchup, suka, asukal, at tubig para sa sauce.

Step 3: Pakuluan ang sauce at ihalo ang cornstarch para lumapot.

Step 4: Idagdag ang carrots, bell pepper, at pineapple tidbits.

Step 5: Ihalo ang mga gulay ng ilang minuto hanggang maluto.

Step 6: Ibuhos ang mainit na sauce sa ibabaw ng piniritong isda.",Ulam (Seafood),"Maasim, Matamis",Calories: ~340 kcal | Protein: ~20g | Fat: ~12g | Carbohydrates: ~35g | Sodium: ~510mg,15,20,4,Moderate,Medium Cost,"Fish, Sweet and Sour, Filipino","Tanghalian, Hapunan","Excited, Happy, Chinese-Filipino nostalgia, Festive",
,Pork Hamonado,Isang festive na ulam ng baboy na niluto sa pineapple juice at asukal hanggang mag-caramelize.,"1 kg pork belly, 2 cups pineapple juice, 1/2 cup soy sauce, 1/2 cup brown sugar, pineapple slices.","Step 1: Igisa ang bawang at sibuyas sa isang kaserola.

Step 2: Idagdag ang baboy at lutuin hanggang mag-brown.

Step 3: Ibuhos ang pineapple juice at toyo.

Step 4: Pakuluan sa mahinang apoy hanggang lumambot ang karne.

Step 5: Idagdag ang asukal at pineapple slices.

Step 6: Lutuin hanggang mag-reduce ang sarsa at maging malapot ang glaze.",Ulam (Main Dish),"Matamis, Malinamnam",Calories: ~460 kcal | Protein: ~22g | Fat: ~34g | Carbohydrates: ~28g | Sodium: ~690mg,15,60,6,Moderate,High Cost,"Pork, Pineapple, Festive, Filipino","Tanghalian, Hapunan","Festive, Christmas mood, Sweet indulgence, Celebratory",
,Sinanglay na Tilapia,Isang Bicolano dish kung saan ang isda ay binalot sa pechay at niluto sa gata.,"2 large tilapia, 3 cups coconut milk, pechay leaves, kamatis, luya, sili, salt.","Step 1: Linisin ang isda at palaman ng kamatis at luya sa loob.

Step 2: Balutin ang bawat isda gamit ang dahon ng pechay at itali ng sinulid kung kailangan.

Step 3: Ilagay ang binalot na isda sa isang malapad na kawali.

Step 4: Ibuhos ang gata ng niyog at sili.

Step 5: Pakuluan sa mahinang apoy hanggang maluto ang isda at lumapot ang gata.

Step 6: Timplahan ng asin bago isalin sa pinggan.",Ulam (Seafood),"Creamy, Spicy",Calories: ~310 kcal | Protein: ~24g | Fat: ~20g | Carbohydrates: ~6g | Sodium: ~280mg,20,25,2,Moderate,Medium Cost,"Tilapia, Bicolano, Gata, Filipino","Tanghalian, Hapunan","Adventurous, Bicolano pride, Curious, Comforted",
,Bibingka,"Rice cake na niluto sa init ng uling sa itaas at ibaba, karaniwang inihahain tuwing simbang gabi.","2 cups rice flour, 1 cup coconut milk, 1 cup sugar, 3 eggs, salted egg, cheese, butter.","Step 1: Paghaluin ang rice flour, asukal, gata, at itlog hanggang maging smooth.

Step 2: Lagyan ng dahon ng saging ang mga molder.

Step 3: Isalin ang mixture sa molder.

Step 4: Lagyan ng hiwa ng salted egg at keso sa ibabaw.

Step 5: I-bake o lutuin sa uling hanggang mag-brown ang ibabaw.

Step 6: Pahiran ng butter at budburan muli ng asukal o niyog.",Kakanin / Christmas,"Sweet, Savory",Calories: ~310 kcal | Fat: ~12g | Carbohydrates: ~45g | Sugar: ~20g | Sodium: ~240mg,15,25,4,Moderate,Low Cost,"Christmas, Rice Cake, Filipino",Meryenda,"Christmas joy, Nostalgic, Simbang Gabi happiness, Warm and festive",
,Turon de Malagkit,Malagkit na rice mixture na binalot sa wrapper at pinirito; mas chewy kaysa sa ordinaryong turon.,"2 cups glutinous rice (cooked), sugar, lumpia wrappers, cooking oil.","Step 1: Magluto ng malagkit na bigas na parang biko ngunit walang gata.

Step 2: Hatiin ang nilutong malagkit sa maliliit na portion.

Step 3: Ibalot sa lumpia wrapper.

Step 4: Iprito sa mainit na mantika.

Step 5: Budburan ng asukal sa mantika habang nagpiprito para sa glaze.

Step 6: Hanguin kapag malutong na ang wrapper.",Meryenda / Kakanin,"Matamis, Chewy",Calories: ~240 kcal | Carbohydrates: ~50g | Fat: ~6g | Sugar: ~18g | Sodium: ~20mg,40,15,6,Moderate,Low Cost,"Malagkit, Sweet, Fried, Filipino",Meryenda,"Sweet craving, Nostalgic, Merienda happiness, Cozy",
,Ukoy,"Malutong na fritters na gawa sa maliliit na hipon, toge, at kalabasa.","1 cup small shrimps, 2 cups squash (strips), 1 cup bean sprouts, 1 cup flour, 1/2 cup cornstarch, egg.","Step 1: Paghaluin ang harina, cornstarch, itlog, at tubig para makabuo ng batter.

Step 2: Ihalo ang hipon, kalabasa, at toge sa batter.

Step 3: Timplahan ng asin at paminta.

Step 4: Sumandok ng sapat na dami at ilagay sa mainit na mantika nang pabilog.

Step 5: Iprito hanggang maging napakalutong at golden brown.

Step 6: Ihain kasama ang sukang may bawang at sili.",Meryenda / Appetizer,"Malutong, Savory",Calories: ~220 kcal | Fat: ~12g | Carbohydrates: ~20g | Protein: ~10g | Sodium: ~290mg,20,15,6,Moderate,Low Cost,"Shrimps, Fritters, Crispy, Filipino",Meryenda,"Street food happiness, Merienda joy, Nostalgic, Playful",
,Suman Malagkit,Tradisyunal na kakanin na binalot sa dahon ng saging at niluto sa pamamagitan ng pag-steam.,"3 cups glutinous rice, 2 cups coconut milk, 1/2 tsp salt, banana leaves.","Step 1: Hugasan ang malagkit at iluto sa gata at asin hanggang mangalahati ang luto.

Step 2: Ihanda ang mga dahon ng saging sa pamamagitan ng pag-init nito sa apoy.

Step 3: Maglagay ng 2-3 kutsarang bigas sa dahon at i-roll nang mahigpit.

Step 4: Itali ang magkapares na suman.

Step 5: I-steam ng 1 hanggang 1 1/2 oras.

Step 6: Ihain kasama ang asukal o latik.",Kakanin / Meryenda,"Creamy, Neutral",Calories: ~210 kcal | Carbohydrates: ~42g | Fat: ~5g | Protein: ~4g | Sodium: ~150mg,30,90,10,Difficult,Low Cost,"Malagkit, Steamed, Filipino",Meryenda,"Nostalgic, Simple morning joy, Pasalubong happiness, Humble",
,Tortang Patatas,Omelet na may kasamang cubes ng patatas at giniling na karne.,"3 large potatoes (cubed), 200g ground pork, 4 eggs, onion, salt, pepper.","Step 1: Iprito ang cubes ng patatas hanggang lumambot; itabi.

Step 2: Igisa ang bawang, sibuyas, at giniling na baboy.

Step 3: Ihalo ang nilutong patatas sa giniling.

Step 4: Batihin ang mga itlog at ibuhos sa mixture ng karne at patatas.

Step 5: Iprito ang mixture na parang pancake.

Step 6: Baligtarin nang maingat hanggang maluto ang kabilang panig.",Ulam (Main Dish),"Savory, Filling",Calories: ~280 kcal | Protein: ~14g | Fat: ~16g | Carbohydrates: ~22g | Sodium: ~310mg,15,20,4,Easy,Low Cost,"Potato, Egg, Breakfast, Filipino","Almusal, Tanghalian","Simple and satisfied, Humble, Budget day contentment, Comforted",
,Ginataang Mais,Isang mainit na meryenda na gawa sa malagkit na bigas at mais na niluto sa gata.,"1 cup glutinous rice, 2 cups sweet corn kernels, 3 cups coconut milk, 1/2 cup sugar.","Step 1: Pakuluan ang gata sa isang kaserola.

Step 2: Idagdag ang malagkit na bigas at haluin para hindi dumikit sa ilalim.

Step 3: Lutuin sa mahinang apoy hanggang lumambot ang bigas.

Step 4: Ihalo ang mais at asukal.

Step 5: Ipagpatuloy ang pagluluto hanggang maging malapot ang mixture.

Step 6: Ihain habang mainit o pinalamig.",Meryenda / Dessert,"Matamis, Creamy",Calories: ~260 kcal | Carbohydrates: ~48g | Fat: ~8g | Sugar: ~18g | Sodium: ~35mg,10,30,5,Easy,Low Cost,"Corn, Rice, Gata, Filipino",Meryenda,"Rainy afternoon, Cozy, Sweet craving, Nostalgic, Comforted",
,Adobong Sitaw,"Isang simpleng gulay na luto sa toyo at suka, kadalasang may kasamang baboy.","1 bundle sitaw, 150g pork belly (cubed), 1/4 cup soy sauce, 2 tbsp vinegar, garlic, pepper.","Step 1: Igisa ang bawang at baboy hanggang mag-brown ang karne.

Step 2: Idagdag ang sitaw (hiniwa sa 2 inches).

Step 3: Ibuhos ang toyo at pakuluan ng ilang minuto.

Step 4: Idagdag ang suka at huwag munang hahaluin ng isang minuto.

Step 5: Timplahan ng paminta.

Step 6: Lutuin hanggang ma-absorb ng sitaw ang sarsa.",Ulam (Vegetable),"Maalat, Maasim",Calories: ~190 kcal | Protein: ~10g | Fat: ~12g | Carbohydrates: ~8g | Sodium: ~520mg,10,15,4,Easy,Low Cost,"Sitaw, Adobo, Vegetable, Filipino","Tanghalian, Hapunan","Simple joy, Humble, Budget-conscious but happy, Nostalgic",
,Pichi-Pichi,"Malagkit na kakanin na gawa sa cassava at asukal, binudburan ng keso o niyog.","2 cups grated cassava, 1 cup sugar, 2 cups water, grated cheese or coconut.","Step 1: Paghaluin ang cassava, asukal, at tubig sa isang mangkok.

Step 2: Isalin sa mga maliliit na molder.

Step 3: I-steam ng 45 minuto hanggang maging transparent ang texture.

Step 4: Palamigin muna nang maigi bago tanggalin sa molder.

Step 5: Pagulungin sa gadgad na keso o niyog.

Step 6: Ihain bilang meryenda.",Kakanin / Dessert,"Matamis, Chewy",Calories: ~150 kcal | Carbohydrates: ~35g | Fat: ~2g | Sugar: ~20g | Sodium: ~110mg,20,45,10,Moderate,Low Cost,"Cassava, Steamed, Kakanin, Filipino",Meryenda,"Nostalgic, Sweet craving, Merienda happiness, Festive",
,Sweet Macaroni Salad,"Isang Pinoy-style salad na may macaroni, condensed milk, at iba't ibang prutas.","500g macaroni, 1 cup mayonnaise, 1 can condensed milk, fruit cocktail, cheese cubes, raisins.","Step 1: Lutuin ang macaroni ayon sa package instructions; palamigin.

Step 2: Sa isang malaking mangkok, paghaluin ang mayonnaise at condensed milk.

Step 3: Idagdag ang fruit cocktail (salain ang syrup).

Step 4: Ihalo ang macaroni, keso, at raisins.

Step 5: Haluin nang maigi hanggang mabalot ang lahat ng sahog.

Step 6: I-refrigerate ng hindi bababa sa 4 na oras bago ihain.",Dessert / Meryenda,"Matamis, Creamy",Calories: ~380 kcal | Fat: ~18g | Carbohydrates: ~45g | Sugar: ~28g | Sodium: ~210mg,20,10,10,Easy,Medium Cost,"Salad, Macaroni, Sweet, Filipino","Meryenda, Handaan","Party mood, Celebratory, Sweet tooth satisfied, Happy",
,Dinakdakan,Isang Ilocano dish ng inihaw na bahagi ng baboy na hinaluan ng creamy dressing.,"500g pork mask/ears, 1/2 cup mayonnaise (alternative to brain), ginger, onion, chili, calamansi juice.","Step 1: Pakuluan ang pork mask hanggang lumambot.

Step 2: Ihawin ang pork hanggang maging tustado ang labas.

Step 3: Hiwain ang inihaw na baboy sa maliliit na cubes.

Step 4: Sa isang mangkok, paghaluin ang luya, sibuyas, sili, at calamansi juice.

Step 5: Ihalo ang baboy at mayonnaise (tradisyunal na utak ng baboy ang ginagamit).

Step 6: Timplahan ng asin at paminta bago ihain bilang pulutan o ulam.",Ulam / Pulutan,"Smoky, Creamy, Sour",Calories: ~420 kcal | Protein: ~18g | Fat: ~38g | Carbohydrates: ~4g | Sodium: ~480mg,30,30,4,Moderate,Medium Cost,"Ilocano, Pork, Grilled, Filipino","Hapunan, Pulutan","Adventurous, Bold (Ilocano pride), Pulutan vibes, Party mood",
,Ginataang Mungo with Tinapa,Masustansyang munggo na niluto sa gata na may pampalasa ng tinapa.,"1 cup mung beans, 2 cups coconut milk, tinapa flakes, malunggay leaves, garlic, onion.","Step 1: Pakuluan ang munggo sa tubig hanggang lumambot.

Step 2: Igisa ang bawang, sibuyas, at tinapa flakes.

Step 3: Ihalo ang pinalambot na munggo.

Step 4: Ibuhos ang gata ng niyog at pakuluan.

Step 5: Idagdag ang malunggay leaves at lutuin ng isang minuto.

Step 6: Timplahan ng asin at paminta.",Ulam (Vegetable),"Creamy, Smoky",Calories: ~260 kcal | Protein: ~12g | Fat: ~14g | Carbohydrates: ~22g | Sodium: ~380mg,15,45,4,Moderate,Low Cost,"Mungo, Tinapa, Gata, Filipino",Tanghalian,"Nostalgic, Comforted, Simple satisfaction, Rainy day",
,Leche Flan,Ang pamosong Filipino custard dessert na gawa sa itlog at gatas na may caramel syrup.,"10 egg yolks, 1 can condensed milk, 1 can evaporated milk, 1/2 cup sugar (for caramel), vanilla.","Step 1: Tunawin ang asukal sa mga llanera hanggang maging caramel.

Step 2: Sa isang mangkok, paghaluin ang egg yolks, condensed milk, evaporated milk, at vanilla.

Step 3: Salain ang mixture para maging smooth ang texture.

Step 4: Isalin ang mixture sa mga llanera.

Step 5: I-steam ng 30-45 minuto sa mahinang apoy (takpan ng foil).

Step 6: Palamigin bago baligtarin sa plato at ihain.",Dessert,"Matamis, Creamy",Calories: ~310 kcal | Fat: ~12g | Carbohydrates: ~42g | Sugar: ~38g | Sodium: ~120mg,20,45,6,Moderate,Medium Cost,"Custard, Sweet, Handaan, Filipino","Meryenda, Dessert","Celebratory, Festive, Indulgent, Sweet and proud, Special occasion",
,Pork Sisig (Crispy Style),Tinadtad na inihaw na bahagi ng mukha ng baboy na pinirito hanggang lumutong.,"500g pork face/belly, 1 cup onion (minced), chili, calamansi, soy sauce, mayonnaise, egg (optional).","Step 1: Pakuluan ang baboy hanggang lumambot at ihawin.

Step 2: Tadtarin ang baboy sa maliliit na piraso.

Step 3: Iprito ang tinadtad na baboy sa mainit na kawali hanggang lumutong.

Step 4: Ihalo ang sibuyas, sili, toyo, at calamansi juice.

Step 5: Magdagdag ng mayonnaise para sa creaminess.

Step 6: Ihain sa sizzling plate at lagyan ng itlog sa ibabaw.",Ulam / Pulutan,"Smoky, Crispy, Sour",Calories: ~480 kcal | Protein: ~20g | Fat: ~42g | Carbohydrates: ~5g | Sodium: ~590mg,40,20,4,Difficult,Medium Cost,"Sisig, Pork, Pampanga, Filipino","Hapunan, Pulutan","Party mood, Bold, Pulutan excitement, Celebratory",
,Ginataang Langka,Hilaw na langka na niluto sa gata na may kasamang dried fish o baboy.,"500g unripe langka, 2 cups coconut milk, 50g dried fish (daing), garlic, onion, chili.","Step 1: Igisa ang bawang, sibuyas, at luya.

Step 2: Idagdag ang hiniwang langka at dried fish.

Step 3: Ibuhos ang gata ng niyog.

Step 4: Pakuluan sa mahinang apoy hanggang lumambot ang langka.

Step 5: Idagdag ang sili para sa anghang.

Step 6: Lutuin hanggang mag-mantika ang gata at timplahan.",Ulam (Vegetable),"Creamy, Spicy",Calories: ~240 kcal | Protein: ~8g | Fat: ~18g | Carbohydrates: ~15g | Sodium: ~430mg,15,35,4,Easy,Low Cost,"Langka, Gata, Bicolano, Filipino",Tanghalian,"Adventurous, Bold, Spice lover's joy, Nostalgic",
,Ube Halaya,"Malagkit na jam na gawa sa purple yam, gatas, at butter.","1 kg grated ube, 1 can condensed milk, 1 cup evaporated milk, 1/2 cup butter, sugar.","Step 1: Pakuluan ang gadgad na ube hanggang lumambot; hanguin at pitpitin.

Step 2: Sa isang malaking kawali, paghaluin ang ube, gatas, at asukal.

Step 3: Haluin nang tuloy-tuloy sa mahinang apoy ng 45-60 minuto.

Step 4: Idagdag ang butter kapag malapot na ang mixture.

Step 5: Ipagpatuloy ang paghalo hanggang sa hindi na dumidikit ang ube sa kawali.

Step 6: Isalin sa mga molder at palamigin.",Dessert / Meryenda,"Matamis, Creamy",Calories: ~290 kcal | Carbohydrates: ~48g | Fat: ~10g | Sugar: ~32g | Sodium: ~140mg,30,60,8,Difficult,Medium Cost,"Ube, Jam, Filipino, Sweet",Meryenda,"Sweet and happy, Nostalgic, Celebratory, Proud (Filipino identity)",
,Kalamay Hati,"Malagkit na rice cake na napakapot at napakatamis, inihahain sa loob ng bao ng niyog.","2 cups glutinous rice flour, 3 cups coconut milk, 1 cup muscovado sugar.","Step 1: Paghaluin ang rice flour at 1 cup ng gata; haluin hanggang mawala ang buo-buo.

Step 2: Sa isang kawali, pakuluan ang natitirang gata at muscovado sugar hanggang lumapot.

Step 3: Unti-unting ibuhos ang rice flour mixture habang hinahalo nang mabilis.

Step 4: Lutuin sa mahinang apoy habang hinahalo nang tuloy-tuloy ng isang oras.

Step 5: Lutuin hanggang maging sobrang lapot at makintab ang mixture.

Step 6: Ilagay sa lalagyan at palamigin bago ihain.",Kakanin / Dessert,"Very Sweet, Chewy",Calories: ~380 kcal | Carbohydrates: ~65g | Fat: ~12g | Sugar: ~35g | Sodium: ~45mg,20,60,6,Difficult,Low Cost,"Muscovado, Kakanin, Sticky, Filipino",Meryenda,"Sweet tooth satisfied, Nostalgic, Simple provincial joy, Proud",
